visit_type;visit_veh;region_code;region_name;visit_livestock_cattle_p;visit_boots_enter_p_min;visit_boots_enter_p_mode;visit_boots_enter_p_max;visit_boots_cleaning_p_min;visit_boots_cleaning_p_mode;visit_boots_cleaning_p_max;visit_wheels_enter_p_min;visit_wheels_enter_p_mode;visit_wheels_enter_p_max;visit_wheels_cleaning_p_min;visit_wheels_cleaning_p_mode;visit_wheels_cleaning_p_max;visit_equipment_enter_p_min;visit_equipment_enter_p_mode;visit_equipment_enter_p_max;visit_equipment_cleaning_p_min;visit_equipment_cleaning_p_mode;visit_equipment_cleaning_p_max;visit_farms_n_min;visit_farms_n_mode;visit_farms_n_max;visit_animals_n_min;visit_animals_n_mode;visit_animals_n_max;visit_direct_p_min;visit_direct_p_mode;visit_direct_p_max;visit_time_between_min;visit_time_between_mode;visit_time_between_max;visit_region_notes;visit_region_ref
animal_professional;FALSE;AND;Andorra;1;0.862;0.922;0.957;0.21;0.29;0.38;;;;;;;0.85;0.9;0.95;0.5;0.7;0.8;2;5;7;1;1;1;1;1;1;0.33;1.17;2;;
slaughter_veh;TRUE;AND;Andorra;1;0.862;0.922;0.957;0.21;0.29;0.38;0.7;0.75;0.8;0.2;0.25;0.3;;;;;;;2;4;6;5;8;40;0.2;0.25;0.3;1;1.5;2;;
rendering_veh;TRUE;AND;Andorra;1;0.862;0.922;0.957;0.21;0.29;0.38;0.2;0.25;0.3;0.2;0.25;0.3;;;;;;;3;5;7;2;4;7;0;0;0;1;1.5;2;;
feed_veh;TRUE;AND;Andorra;1;0.862;0.922;0.957;0.21;0.29;0.38;0.5;0.7;0.8;0.2;0.25;0.3;;;;;;;4;5;8;1;1;1;0;0;0;1;1.5;2;;
milk_veh;TRUE;AND;Andorra;1;0.862;0.922;0.957;0.21;0.29;0.38;0.4;0.5;0.6;0.2;0.25;0.3;;;;;;;4;5;8;1;1;1;0;0;0;1;1.5;2;;
calf_veh;TRUE;AND;Andorra;1;0.862;0.922;0.957;0.21;0.29;0.38;0.7;0.75;0.8;0.2;0.25;0.3;;;;;;;6;10;18;1;1;1;0.2;0.25;0.3;1;1.5;2;;
adult_veh;TRUE;AND;Andorra;1;0.862;0.922;0.957;0.21;0.29;0.38;0.7;0.75;0.8;0.2;0.25;0.3;;;;;;;6;10;18;1;1;1;0.2;0.25;0.3;1;1.5;2;;
vet;FALSE;CWL;Cowland;1;0.862;0.922;0.957;0.21;0.29;0.38;;;;;;;0.85;0.9;0.95;0.78;0.86;0.91;2;4.5;7;1;1;1;1;1;1;0.33;1.17;2;;
farmer_visit;FALSE;CWL;Cowland;;0.862;0.922;0.957;0.21;0.29;0.38;;;;;;;0.85;0.9;0.95;0.5;0.7;0.8;1;1.5;2;1;1;1;1;1;1;0.33;1.17;2;Copied from other_farmer;
other_farmer;FALSE;CWL;Cowland;;0.862;0.922;0.957;0.21;0.29;0.38;;;;;;;0.85;0.9;0.95;0.5;0.7;0.8;1;1.5;2;1;1;1;1;1;1;0.33;1.17;2;;
farm_worker;FALSE;CWL;Cowland;;0.862;0.922;0.957;0.21;0.29;0.38;;;;;;;0.5;0.6;0.7;0.5;0.7;0.8;1;1.5;2;1;1;1;1;1;1;0.33;1.17;2;;
animal_professional;FALSE;CWL;Cowland;1;0.862;0.922;0.957;0.21;0.29;0.38;;;;;;;0.85;0.9;0.95;0.5;0.7;0.8;2;4;6;1;1;1;1;1;1;0.33;1.17;2;;
other_professional;FALSE;CWL;Cowland;;0.862;0.922;0.957;0.21;0.29;0.38;;;;;;;0.5;0.6;0.7;0.9;0.93;0.95;0;0.5;1;1;1;1;1;1;1;0.33;1.17;2;;
animal_professional;FALSE;CWL;Cowland;1;0.862;0.922;0.957;0.21;0.29;0.38;;;;;;;0.85;0.9;0.95;0.5;0.7;0.8;2;5;7;1;1;1;1;1;1;0.33;1.17;2;;
slaughter_veh;TRUE;CWL;Cowland;1;0.862;0.922;0.957;0.21;0.29;0.38;0.7;0.75;0.8;0.2;0.25;0.3;;;;;;;2;4;6;5;8;40;0.2;0.25;0.3;1;1.5;2;;
rendering_veh;TRUE;CWL;Cowland;1;0.862;0.922;0.957;0.21;0.29;0.38;0.2;0.25;0.3;0.2;0.25;0.3;;;;;;;3;5;7;2;4;7;0;0;0;1;1.5;2;;
feed_veh;TRUE;CWL;Cowland;1;0.862;0.922;0.957;0.21;0.29;0.38;0.5;0.7;0.8;0.2;0.25;0.3;;;;;;;4;5;8;1;1;1;0;0;0;1;1.5;2;;
milk_veh;TRUE;CWL;Cowland;1;0.862;0.922;0.957;0.21;0.29;0.38;0.4;0.5;0.6;0.2;0.25;0.3;;;;;;;4;5;8;1;1;1;0;0;0;1;1.5;2;;
calf_veh;TRUE;CWL;Cowland;1;0.862;0.922;0.957;0.21;0.29;0.38;0.7;0.75;0.8;0.2;0.25;0.3;;;;;;;6;10;18;1;1;1;0.2;0.25;0.3;1;1.5;2;;
adult_veh;TRUE;CWL;Cowland;1;0.862;0.922;0.957;0.21;0.29;0.38;0.7;0.75;0.8;0.2;0.25;0.3;;;;;;;6;10;18;1;1;1;0.2;0.25;0.3;1;1.5;2;;
